asn,prefix,as_path
28076,1.2.0.0/16,262199 23520 3549 10753 1 1
262192,1.2.0.0/16,262195 7303 3549 10753 1 1
264718,1.2.0.0/16,262191 23520 3549 10753 1 1
61469,1.2.0.0/16,262186 23520 3549 10753 1 1
61446,1.2.0.0/16,262186 23520 3549 10753 1 1
27763,1.2.0.0/16,262186 23520 3549 10753 1 1
263930,1.2.0.0/16,262182 12956 12989 2516 2510 10026 4657 12025 10753 1 1
52489,1.2.0.0/16,262182 12956 12989 2516 2510 10026 4657 12025 10753 1 1
28479,1.2.0.0/16,262182 12956 12989 2516 2510 10026 4657 12025 10753 1 1
264692,1.2.0.0/16,262150 3549 10753 1 1
264650,1.2.0.0/16,262150 3549 10753 1 1
197886,1.2.0.0/16,204266 29278 43531 5738 10753 1 1
35428,1.2.0.0/16,204232 6939 13536 5738 10753 1 1
204149,1.2.0.0/16,204152 44217 3356 10753 1 1
34364,1.2.0.0/16,203972 3216 2914 7029 63264 1 1
22989,1.2.0.0/16,203959 3223 20640 25418 1 1
201147,1.2.0.0/16,203695 31133 3549 10753 1 1
43617,1.2.0.0/16,203683 3257 5738 10753 1 1
203345,1.2.0.0/16,203676 8943 6461 26114 1 1
202957,1.2.0.0/16,203593 3209 286 25418 1 1
201272,1.2.0.0/16,203459 44217 3356 10753 1 1
196931,1.2.0.0/16,202758 31484 6939 13536 5738 10753 1 1
203099,1.2.0.0/16,202207 23148 20640 25418 1 1
202183,1.2.0.0/16,202203 6939 13536 5738 10753 1 1
47728,1.2.0.0/16,202177 6939 13536 5738 10753 1 1
201993,1.2.0.0/16,202046 1257 286 25418 1 1
204218,1.2.0.0/16,201962 33891 286 25418 1 1
204054,1.2.0.0/16,201865 31133 3549 10753 1 1
196754,1.2.0.0/16,201861 31133 3549 10753 1 1
34843,1.2.0.0/16,201861 31133 3549 10753 1 1
12459,1.2.0.0/16,201789 50673 20640 25418 1 1
204144,1.2.0.0/16,201776 28917 20640 25418 1 1
203528,1.2.0.0/16,201776 28917 20640 25418 1 1
198293,1.2.0.0/16,201776 28917 20640 25418 1 1
59744,1.2.0.0/16,201776 28917 20640 25418 1 1
56352,1.2.0.0/16,201776 28917 20640 25418 1 1
44387,1.2.0.0/16,201776 28917 20640 25418 1 1
43564,1.2.0.0/16,201776 28917 20640 25418 1 1
43400,1.2.0.0/16,201776 28917 20640 25418 1 1
42238,1.2.0.0/16,201776 28917 20640 25418 1 1
41914,1.2.0.0/16,201776 28917 20640 25418 1 1
34990,1.2.0.0/16,201776 28917 20640 25418 1 1
20916,1.2.0.0/16,201776 28917 20640 25418 1 1
8381,1.2.0.0/16,201776 28917 20640 25418 1 1
199473,1.2.0.0/16,201725 49386 16265 32787 10753 1 1
199938,1.2.0.0/16,201709 6805 286 25418 1 1
203804,1.2.0.0/16,201706 9002 286 25418 1 1
201186,1.2.0.0/16,201706 9002 286 25418 1 1
203257,1.2.0.0/16,201668 44217 3356 10753 1 1
43654,1.2.0.0/16,201635 44141 43531 5738 10753 1 1
204196,1.2.0.0/16,201628 60144 6461 26114 1 1
201006,1.2.0.0/16,201587 47605 3549 10753 1 1
202853,1.2.0.0/16,201553 174 5738 10753 1 1
29309,1.2.0.0/16,201536 174 5738 10753 1 1
200683,1.2.0.0/16,201535 20640 25418 1 1
200863,1.2.0.0/16,201323 16265 32787 10753 1 1
44560,1.2.0.0/16,201298 21414 20640 25418 1 1
9134,1.2.0.0/16,201298 21414 20640 25418 1 1
203572,1.2.0.0/16,201236 15958 20640 25418 1 1
200463,1.2.0.0/16,201211 6939 13536 5738 10753 1 1
61267,1.2.0.0/16,201211 6939 13536 5738 10753 1 1
203840,1.2.0.0/16,201035 197999 20640 25418 1 1
204145,1.2.0.0/16,200995 6939 13536 5738 10753 1 1
202826,1.2.0.0/16,200904 43531 5738 10753 1 1
202619,1.2.0.0/16,200904 43531 5738 10753 1 1
201653,1.2.0.0/16,200904 43531 5738 10753 1 1
202903,1.2.0.0/16,200873 1267 20640 25418 1 1
203358,1.2.0.0/16,200738 12715 3303 7029 63264 1 1
202593,1.2.0.0/16,200721 49505 20640 25418 1 1
204191,1.2.0.0/16,200719 8473 6453 25418 1 1
203275,1.2.0.0/16,200719 8473 6453 25418 1 1
203922,1.2.0.0/16,200634 31133 3549 10753 1 1
57942,1.2.0.0/16,200602 6939 13536 5738 10753 1 1
41419,1.2.0.0/16,200590 59583 43994 12695 20640 25418 1 1
57417,1.2.0.0/16,200485 44217 3356 10753 1 1
197976,1.2.0.0/16,200187 20640 25418 1 1
34813,1.2.0.0/16,200187 20640 25418 1 1
203049,1.2.0.0/16,200161 6939 13536 5738 10753 1 1
50107,1.2.0.0/16,200155 6939 13536 5738 10753 1 1
51324,1.2.0.0/16,200086 6939 13536 5738 10753 1 1
15437,1.2.0.0/16,200043 43531 5738 10753 1 1
200525,1.2.0.0/16,200000 16265 32787 10753 1 1
49570,1.2.0.0/16,200000 16265 32787 10753 1 1
204022,1.2.0.0/16,199995 16265 32787 10753 1 1
197688,1.2.0.0/16,199995 16265 32787 10753 1 1
197490,1.2.0.0/16,199995 16265 32787 10753 1 1
47673,1.2.0.0/16,199995 16265 32787 10753 1 1
201566,1.2.0.0/16,199860 6939 13536 5738 10753 1 1
47175,1.2.0.0/16,199754 6939 13536 5738 10753 1 1
203446,1.2.0.0/16,199733 1299 7029 63264 1 1
2187,1.2.0.0/16,199677 174 5738 10753 1 1
48310,1.2.0.0/16,199660 43531 5738 10753 1 1
20602,1.2.0.0/16,199624 6939 13536 5738 10753 1 1
203410,1.2.0.0/16,199599 20640 25418 1 1
202824,1.2.0.0/16,199599 20640 25418 1 1
202573,1.2.0.0/16,199599 20640 25418 1 1
201138,1.2.0.0/16,199599 20640 25418 1 1
200928,1.2.0.0/16,199599 20640 25418 1 1
263983,1.2.0.0/16,263018 53062 3549 10753 1 1
58229,1.2.0.0/16,199599 20640 25418 1 1
48263,1.2.0.0/16,199599 20640 25418 1 1
9020,1.2.0.0/16,199578 680 286 25418 1 1
203432,1.2.0.0/16,199565 20485 4809 15412 15802 57187 43531 5738 10753 1 1
203289,1.2.0.0/16,199484 3223 20640 25418 1 1
49861,1.2.0.0/16,199484 3223 20640 25418 1 1
47918,1.2.0.0/16,199420 49063 6939 13536 5738 10753 1 1
41947,1.2.0.0/16,199420 49063 6939 13536 5738 10753 1 1
34217,1.2.0.0/16,199420 49063 6939 13536 5738 10753 1 1
202804,1.2.0.0/16,199361 9002 286 25418 1 1
21145,1.2.0.0/16,199270 3356 10753 1 1
203501,1.2.0.0/16,199236 1764 20640 25418 1 1
201622,1.2.0.0/16,199139 43531 5738 10753 1 1
61362,1.2.0.0/16,199082 12880 6453 25418 1 1
203791,1.2.0.0/16,199020 8359 20640 25418 1 1
57233,1.2.0.0/16,199020 8359 20640 25418 1 1
20772,1.2.0.0/16,199020 8359 20640 25418 1 1
2222,1.2.0.0/16,199010 9049 6939 13536 5738 10753 1 1
60155,1.2.0.0/16,198988 43531 5738 10753 1 1
196649,1.2.0.0/16,198935 6939 13536 5738 10753 1 1
51609,1.2.0.0/16,198934 174 5738 10753 1 1
41315,1.2.0.0/16,198934 174 5738 10753 1 1
